DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
14,1412,7,2017,23,5,2017,1,0101,999,999,9,9,320,320,9,9,23,97
1,0116,9,2017,2,5,2017,1,0101,999,999,9,9,320,320,9,9,23,97
1,0101,11,2017,8,6,2017,1,0101,999,999,9,9,320,320,9,9,23,97
1,0101,5,2017,6,2,2017,1,0101,999,999,9,9,320,320,9,9,34,97
1,0101,7,2017,23,3,2017,1,0101,999,999,9,9,320,320,9,9,34,97
1,0101,4,2017,6,2,2017,1,0101,999,999,9,9,320,320,9,9,43,97
1,0101,7,2017,2,6,2017,1,0101,999,999,9,9,320,320,9,9,43,97
1,0101,9,2017,25,5,2017,1,0101,999,999,9,9,320,320,9,9,43,97
1,0101,11,2017,11,9,2017,1,0101,999,999,9,9,320,320,9,9,43,97
1,0101,7,2017,5,6,2017,1,0101,999,999,9,9,320,320,9,9,52,97
6,0605,8,2017,5,7,2017,1,0101,999,999,9,9,320,320,9,9,52,97
1,0101,5,2017,30,3,2017,1,0101,999,999,9,9,320,320,9,9,52,97
1,0115,7,2017,8,5,2017,1,0101,999,999,9,9,320,320,9,9,52,97
1,0101,3,2018,13,12,2017,1,0101,999,999,9,9,320,320,9,9,52,97
1,0101,11,2017,14,9,2017,1,0101,999,999,9,9,320,320,9,9,71,97
1,0115,2,2018,13,10,2017,1,0101,999,999,9,9,320,320,9,9,71,97
1,0101,2,2017,27,1,2017,1,0101,999,999,9,9,320,320,9,9,72,97
1,0115,10,2017,27,9,2017,1,0101,999,999,9,9,320,320,9,9,72,97
1,0101,5,2018,6,12,2017,1,0101,999,999,9,9,320,320,9,9,72,97
1,0101,9,2017,24,7,2017,1,0101,999,999,9,9,320,222,9,9,73,97
1,0101,1,2018,12,7,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,10,2017,20,2,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,4,2018,29,5,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0102,5,2017,17,3,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,7,2017,2,3,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,3,2018,4,9,2017,1,0101,999,999,9,9,320,320,9,9,75,97
18,1801,10,2017,13,9,2017,1,0101,999,999,9,9,320,320,9,9,81,97
1,0101,7,2017,20,3,2017,1,0101,999,999,9,9,320,320,9,9,83,97
1,0101,11,2017,20,7,2017,1,0101,999,999,9,9,320,320,9,9,83,97
1,0101,2,2018,2,11,2017,1,0101,999,999,9,9,320,320,9,9,83,97
17,1706,5,2017,7,4,2017,1,0115,999,999,9,9,320,320,9,9,92,97
18,1801,5,2017,16,3,2017,1,0101,999,999,9,9,320,320,9,9,92,97
1,0101,5,2017,20,3,2017,1,0101,999,999,9,9,320,320,9,9,92,97
1,0114,6,2017,9,1,2017,1,0114,999,999,9,9,320,320,9,9,92,97
1,0101,6,2017,25,4,2017,1,0115,999,999,9,9,320,320,9,9,92,97
1,0101,6,2017,23,2,2017,1,0101,999,999,9,9,320,320,9,9,92,97
1,0115,6,2017,24,4,2017,1,0115,999,999,9,9,320,320,9,9,92,97
1,0101,8,2017,27,4,2017,1,0113,999,999,9,9,320,320,9,9,92,97
1,0101,12,2017,7,9,2017,1,0101,999,999,9,9,320,320,9,9,92,97
1,0114,12,2017,7,11,2017,1,0114,999,999,9,9,320,320,9,9,92,97
1,0101,1,2018,27,11,2017,1,0108,999,999,9,9,320,320,9,9,92,97
1,0115,10,2017,2,5,2017,1,0115,999,999,9,9,320,320,9,9,92,97
1,0115,11,2017,25,10,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0115,4,2017,6,2,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0101,5,2017,3,3,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,7,2017,17,5,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,8,2017,19,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
3,0301,8,2017,2,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,9,2017,23,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,9,2017,10,7,2017,1,0104,999,999,9,9,320,320,9,9,97,97
1,0115,11,2017,24,8,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0101,12,2017,5,9,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,2,2018,30,11,2017,1,0101,999,999,9,9,320,320,9,9,97,97
2,0201,2,2018,20,11,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,3,2018,7,12,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,4,2018,12,10,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,4,2018,25,10,2017,1,0108,999,999,9,9,320,320,9,9,97,97
1,0115,4,2018,30,11,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0115,4,2018,27,11,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0101,5,2018,22,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,2,2018,11,7,2017,1,0101,999,999,9,9,320,840,9,9,97,97
1,0101,10,2017,6,4,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0117,8,2017,20,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,3,2018,6,12,2017,1,0101,999,999,9,9,320,720,9,9,97,97
1,0101,3,2018,28,3,2017,1,0102,999,999,9,9,320,320,9,9,92,97
1,0101,7,2017,21,3,2017,1,0115,999,999,9,9,320,320,9,9,97,97
1,0101,5,2017,17,4,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,10,2017,21,8,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,3,2017,8,2,2017,1,0101,999,999,9,9,320,320,9,9,75,97
1,0101,10,2017,26,7,2017,1,0101,999,999,9,9,320,320,9,9,92,97
1,0101,9,2017,19,7,2017,1,0101,999,999,9,9,320,320,9,9,33,97
1,0101,5,2017,6,4,2017,1,0101,999,999,9,9,320,320,9,9,72,97
11,1101,9,2017,3,4,2017,1,0101,999,999,9,9,320,320,9,9,83,97
1,0101,4,2017,3,4,2017,1,0101,999,999,9,9,320,320,9,9,92,97
